https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CVC,Volume USDT,tradecount
1623888000000,2021-06-17 00:00:00,CVC/USDT,0.25377000,0.26493000,0.24631000,0.25154000,8807468.90000000,2242297.70494000,13625
1623801600000,2021-06-16 00:00:00,CVC/USDT,0.26958000,0.27162000,0.25067000,0.25380000,10524717.10000000,2735095.16965700,17741
1623715200000,2021-06-15 00:00:00,CVC/USDT,0.27529000,0.27911000,0.26167000,0.26961000,11440115.30000000,3101354.68732400,19208
1623628800000,2021-06-14 00:00:00,CVC/USDT,0.26671000,0.27998000,0.26029000,0.27555000,14586984.80000000,3947298.61405300,21271
1623542400000,2021-06-13 00:00:00,CVC/USDT,0.25374000,0.27389000,0.24584000,0.26712000,14709144.70000000,3843720.15363900,18507
1623456000000,2021-06-12 00:00:00,CVC/USDT,0.26543000,0.26543000,0.24204000,0.25310000,10672763.30000000,2689628.27645600,17632
1623369600000,2021-06-11 00:00:00,CVC/USDT,0.29164000,0.31535000,0.25776000,0.26516000,34785672.60000000,10280855.58192900,37754
1623283200000,2021-06-10 00:00:00,CVC/USDT,0.29605000,0.30917000,0.28043000,0.29159000,9710908.30000000,2844880.99063000,16083
1623196800000,2021-06-09 00:00:00,CVC/USDT,0.28442000,0.30044000,0.27670000,0.29647000,15151116.40000000,4391565.50625900,22985
1623110400000,2021-06-08 00:00:00,CVC/USDT,0.29706000,0.30142000,0.25600000,0.28442000,13448479.70000000,3754873.30512300,21318
1623024000000,2021-06-07 00:00:00,CVC/USDT,0.32556000,0.33788000,0.29410000,0.29706000,8946612.20000000,2853076.65049400,15150
1622937600000,2021-06-06 00:00:00,CVC/USDT,0.31439000,0.33602000,0.31130000,0.32554000,9813589.10000000,3164728.84887700,16023
1622851200000,2021-06-05 00:00:00,CVC/USDT,0.32529000,0.35368000,0.30587000,0.31356000,12649761.60000000,4124074.26428300,20358
1622764800000,2021-06-04 00:00:00,CVC/USDT,0.35640000,0.35714000,0.30809000,0.32470000,16215395.90000000,5270297.95462800,26069
1622678400000,2021-06-03 00:00:00,CVC/USDT,0.33713000,0.38281000,0.33172000,0.35607000,27666125.30000000,9955474.69129800,49043
1622592000000,2021-06-02 00:00:00,CVC/USDT,0.32769,0.34441,0.31949,0.33678,24477598,8196090.48952,57785
1622505600000,2021-06-01 00:00:00,CVC/USDT,0.33435,0.34054,0.31658,0.32772,32593046,10719459.23705,67156
1622419200000,2021-05-31 00:00:00,CVC/USDT,0.31280,0.35306,0.29411,0.33435,53687342,17605066.50064,86681
1622332800000,2021-05-30 00:00:00,CVC/USDT,0.30471,0.32855,0.28382,0.31263,23142396,7198116.28722,61858
1622246400000,2021-05-29 00:00:00,CVC/USDT,0.32154,0.34685,0.28330,0.30485,36021159,11207008.45016,83761
1622160000000,2021-05-28 00:00:00,CVC/USDT,0.37047,0.37508,0.30717,0.32148,54606969,18312532.37145,111239
1622073600000,2021-05-27 00:00:00,CVC/USDT,0.35761,0.42344,0.33000,0.37028,102724203,39653564.33385,186648
1621987200000,2021-05-26 00:00:00,CVC/USDT,0.32175,0.35785,0.31124,0.35785,42812049,14430981.52141,80500
1621900800000,2021-05-25 00:00:00,CVC/USDT,0.32188,0.33199,0.28267,0.32162,49117996,15114839.16682,92582
1621814400000,2021-05-24 00:00:00,CVC/USDT,0.27494,0.32286,0.26167,0.32179,69019836,20395961.61721,113413
1621728000000,2021-05-23 00:00:00,CVC/USDT,0.32189,0.33842,0.21725,0.27492,84771919,23000404.31063,146530
1621641600000,2021-05-22 00:00:00,CVC/USDT,0.35884,0.36134,0.30000,0.32166,61135679,19990979.71952,115816
1621555200000,2021-05-21 00:00:00,CVC/USDT,0.46075,0.52229,0.30382,0.35893,204599404,83221777.72796,384092
1621468800000,2021-05-20 00:00:00,CVC/USDT,0.29102,0.50400,0.25591,0.46068,180125259,72100608.32273,388036
1621382400000,2021-05-19 00:00:00,CVC/USDT,0.42418,0.43356,0.15370,0.29151,104907987,34098032.80101,188484
1621296000000,2021-05-18 00:00:00,CVC/USDT,0.40658,0.44549,0.40142,0.42427,30824076,13117635.86230,75437
1621209600000,2021-05-17 00:00:00,CVC/USDT,0.44559,0.44561,0.38409,0.40641,46530332,19092611.96881,105642
1621123200000,2021-05-16 00:00:00,CVC/USDT,0.44441,0.48260,0.41634,0.44589,27962606,12606225.73255,79649
1621036800000,2021-05-15 00:00:00,CVC/USDT,0.48474,0.51638,0.44090,0.44373,36904869,17534550.81484,88342
1620950400000,2021-05-14 00:00:00,CVC/USDT,0.46498,0.50086,0.45426,0.48431,33457972,16008923.12098,75085
1620864000000,2021-05-13 00:00:00,CVC/USDT,0.45022,0.49018,0.41443,0.46392,54830698,25177862.31554,110924
1620777600000,2021-05-12 00:00:00,CVC/USDT,0.53293,0.54568,0.43769,0.44865,42007946,21407666.50056,88885
1620691200000,2021-05-11 00:00:00,CVC/USDT,0.50547,0.53349,0.48802,0.53280,34499383,17718213.00296,79138
1620604800000,2021-05-10 00:00:00,CVC/USDT,0.58599,0.59133,0.47124,0.50526,44738157,24272685.46811,94860
