,result
ADA,0.61
BAT,0.47
BNB,0.81
BTC,0.53
BTT,0.51
CELR,0.49
DASH,0.69
EOS,0.37
ETC,0.46
ETH,0.44
ICX,0.59
LINK,0.31
LTC,0.66
MATIC,0.6
NEO,0.56
ONE,0.34
QTUM,0.5
TRX,0.59
XLM,0.32
XMR,0.54
XRP,0.44
ZEC,0.4
