https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1630022400000,2021-08-27 00:00:00,AAVE/USDT,350.50000000,375.40000000,343.80000000,372.80000000,113318.63670000,40963736.11122700,94130
1629936000000,2021-08-26 00:00:00,AAVE/USDT,384.17000000,389.30000000,340.90000000,350.70000000,112812.22710000,40594565.64854800,103328
1629849600000,2021-08-25 00:00:00,AAVE/USDT,377.98000000,386.12000000,363.50000000,384.16000000,103418.25010000,38951050.22287400,107721
1629763200000,2021-08-24 00:00:00,AAVE/USDT,408.35000000,414.01000000,370.00000000,377.97000000,117344.30490000,46059176.89694600,137880
1629676800000,2021-08-23 00:00:00,AAVE/USDT,400.98000000,415.49000000,399.13000000,408.35000000,130982.40440000,53580151.49513400,158106
1629590400000,2021-08-22 00:00:00,AAVE/USDT,399.91000000,408.63000000,385.75000000,400.98000000,83066.01890000,33080104.73412900,102877
1629504000000,2021-08-21 00:00:00,AAVE/USDT,409.27000000,415.84000000,393.25000000,399.91000000,137607.94900000,55854244.36707700,149849
1629417600000,2021-08-20 00:00:00,AAVE/USDT,405.31000000,420.82000000,403.22000000,409.20000000,143871.08600000,59095970.63553100,176343
1629331200000,2021-08-19 00:00:00,AAVE/USDT,380.25000000,405.40000000,370.49000000,405.40000000,148762.63760000,57204503.62092800,133587
1629244800000,2021-08-18 00:00:00,AAVE/USDT,381.44000000,397.55000000,361.27000000,380.22000000,218560.94580000,83450095.44835800,174837
1629158400000,2021-08-17 00:00:00,AAVE/USDT,412.59000000,448.44000000,380.52000000,381.46000000,263870.28270000,109974342.61550600,374022
1629072000000,2021-08-16 00:00:00,AAVE/USDT,410.14000000,446.66000000,407.87000000,412.59000000,265650.03730000,113798127.87421200,366423
1628985600000,2021-08-15 00:00:00,AAVE/USDT,414.39000000,416.11000000,391.24000000,410.27000000,124038.81210000,49855767.14458200,129651
1628899200000,2021-08-14 00:00:00,AAVE/USDT,427.52000000,428.25000000,404.15000000,414.38000000,104107.12260000,43243307.29044300,143490
1628812800000,2021-08-13 00:00:00,AAVE/USDT,392.27000000,428.28000000,387.87000000,427.50000000,145749.78850000,60713991.82022400,173837
