https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT,tradecount
1623283200000,2021-06-10 00:00:00,MKR/USDT,3329.44000000,3345.27000000,3042.52000000,3112.11000000,2822.59709000,9013459.66702170,21336
1623196800000,2021-06-09 00:00:00,MKR/USDT,3239.68000000,3342.70000000,3036.00000000,3330.18000000,3985.01595000,12821231.53086830,30307
1623110400000,2021-06-08 00:00:00,MKR/USDT,3304.01000000,3367.45000000,2883.93000000,3236.89000000,7616.52094000,24056668.99241080,54087
1623024000000,2021-06-07 00:00:00,MKR/USDT,3613.58000000,3807.73000000,3273.23000000,3306.92000000,4977.53475000,17860700.34738210,42800
1622937600000,2021-06-06 00:00:00,MKR/USDT,3555.38000000,3640.35000000,3508.33000000,3612.57000000,2029.11767000,7256899.11257940,16936
1622851200000,2021-06-05 00:00:00,MKR/USDT,3729.03000000,3917.71000000,3408.53000000,3555.76000000,5290.24113000,19622008.90554900,45454
1622764800000,2021-06-04 00:00:00,MKR/USDT,3658.00000000,3980.53000000,3441.40000000,3725.52000000,12339.83095000,45809188.17800990,91289
1622678400000,2021-06-03 00:00:00,MKR/USDT,3563.21000000,3718.32000000,3529.25000000,3659.44000000,4410.93891000,16028942.72592630,34918
1622592000000,2021-06-02 00:00:00,MKR/USDT,3599.62000000,3726.98000000,3507.50000000,3561.79000000,3461.47048000,12519667.11861820,32642
1622505600000,2021-06-01 00:00:00,MKR/USDT,3587.87000000,3700.00000000,3471.00000000,3593.63000000,4889.16756000,17523008.81365300,39896
1622419200000,2021-05-31 00:00:00,MKR/USDT,3304.16000000,3614.54000000,3161.80000000,3597.27000000,4914.54607000,16826124.20294300,38054
1622332800000,2021-05-30 00:00:00,MKR/USDT,3068.95000000,3450.00000000,2843.12000000,3308.90000000,6118.28584000,19717405.64419320,43072
1622246400000,2021-05-29 00:00:00,MKR/USDT,3246.29000000,3450.39000000,2862.93000000,3064.10000000,5859.37029000,18414640.87790130,43079
1622160000000,2021-05-28 00:00:00,MKR/USDT,3724.60,3783.00,3123.90,3250.90,39603.303,135123788.59030,235847
