https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ICP,Volume USDT,tradecount
1632873600000,2021-09-29 00:00:00,ICP/USDT,40.88000000,41.35000000,40.58000000,40.65000000,24235.18000000,993228.46810000,2400
1632787200000,2021-09-28 00:00:00,ICP/USDT,42.44000000,43.84000000,40.66000000,40.87000000,955085.77000000,40453231.63060000,98119
1632700800000,2021-09-27 00:00:00,ICP/USDT,43.69000000,46.73000000,42.25000000,42.46000000,1484962.85000000,66441199.51450000,139269
1632614400000,2021-09-26 00:00:00,ICP/USDT,45.78000000,45.96000000,39.50000000,43.69000000,2068058.81000000,89172040.46210000,197655
1632528000000,2021-09-25 00:00:00,ICP/USDT,46.10000000,47.12000000,44.00000000,45.79000000,1041802.33000000,47536603.83380000,119628
1632441600000,2021-09-24 00:00:00,ICP/USDT,50.55000000,51.46000000,42.11000000,46.11000000,2332675.22000000,107725826.75250000,247043
1632355200000,2021-09-23 00:00:00,ICP/USDT,49.90000000,52.30000000,48.78000000,50.56000000,1458482.89000000,73610844.00040000,163901
1632268800000,2021-09-22 00:00:00,ICP/USDT,44.77000000,52.00000000,44.03000000,49.89000000,1567645.14000000,74761407.57480000,174564
1632182400000,2021-09-21 00:00:00,ICP/USDT,47.57000000,50.14000000,42.12000000,44.79000000,1896657.04000000,88641843.84850000,226325
1632096000000,2021-09-20 00:00:00,ICP/USDT,57.18000000,57.36000000,45.27000000,47.58000000,2433927.32000000,122668246.39690000,282866
1632009600000,2021-09-19 00:00:00,ICP/USDT,58.58000000,58.87000000,56.12000000,57.16000000,755052.42000000,43403586.34720000,99393
1631923200000,2021-09-18 00:00:00,ICP/USDT,56.47000000,61.20000000,55.47000000,58.60000000,1230921.55000000,72432788.20060000,166248
1631836800000,2021-09-17 00:00:00,ICP/USDT,57.91000000,58.60000000,55.00000000,56.45000000,982128.57000000,55606197.09330000,119097
1631750400000,2021-09-16 00:00:00,ICP/USDT,61.37000000,61.71000000,56.57000000,57.93000000,1293716.19000000,76765371.63240000,157652
1631664000000,2021-09-15 00:00:00,ICP/USDT,56.93000000,62.30000000,56.68000000,61.37000000,1488191.86000000,88386800.68050000,196509
1631577600000,2021-09-14 00:00:00,ICP/USDT,55.06000000,58.81000000,54.37000000,56.93000000,1362715.04000000,77052437.44300000,161260
1631491200000,2021-09-13 00:00:00,ICP/USDT,59.44000000,60.27000000,50.36000000,55.06000000,2098261.31000000,115894604.89660000,281209
1631404800000,2021-09-12 00:00:00,ICP/USDT,58.08000000,61.88000000,56.34000000,59.43000000,1693103.70000000,100692198.46220000,218649
1631318400000,2021-09-11 00:00:00,ICP/USDT,56.92000000,62.00000000,55.46000000,58.10000000,2076336.41000000,122528164.76490000,237970
