https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USDT,tradecount
1631577600000,2021-09-14 00:00:00,LRC/USDT,0.43420000,0.48600000,0.42570000,0.46890000,26205185.00000000,11886891.72510000,32907
1631491200000,2021-09-13 00:00:00,LRC/USDT,0.48300000,0.49000000,0.41110000,0.43380000,32500039.00000000,14405966.43510000,37777
1631404800000,2021-09-12 00:00:00,LRC/USDT,0.43880000,0.52900000,0.42090000,0.48390000,91495020.00000000,44810647.62130000,110451
1631318400000,2021-09-11 00:00:00,LRC/USDT,0.41590000,0.47000000,0.41230000,0.43910000,19737017.00000000,8710227.71820000,27719
1631232000000,2021-09-10 00:00:00,LRC/USDT,0.44900000,0.47140000,0.40370000,0.41580000,22127559.00000000,9651821.30660000,33232
1631145600000,2021-09-09 00:00:00,LRC/USDT,0.43670000,0.48000000,0.43000000,0.44820000,24940960.00000000,11158957.94470000,33150
1631059200000,2021-09-08 00:00:00,LRC/USDT,0.40570000,0.49000000,0.39290000,0.43600000,69049438.00000000,30140411.87970000,77600
1630972800000,2021-09-07 00:00:00,LRC/USDT,0.50500000,0.50750000,0.38030000,0.40480000,77684283.80000000,34279735.76372500,90100
1630886400000,2021-09-06 00:00:00,LRC/USDT,0.52360000,0.53330000,0.46500000,0.50500000,37380601.00000000,19019265.51870000,51837
1630800000000,2021-09-05 00:00:00,LRC/USDT,0.50870000,0.53520000,0.50240000,0.52340000,40899591.00000000,21234795.10750000,49693
1630713600000,2021-09-04 00:00:00,LRC/USDT,0.51390000,0.52340000,0.50250000,0.50860000,33185280.00000000,17023176.78760000,41487
1630627200000,2021-09-03 00:00:00,LRC/USDT,0.52880000,0.53130000,0.49340000,0.51380000,38983342.00000000,20287369.82340000,50082
1630540800000,2021-09-02 00:00:00,LRC/USDT,0.53560000,0.55000000,0.52570000,0.52880000,39252736.00000000,21023258.16470000,46591
1630454400000,2021-09-01 00:00:00,LRC/USDT,0.55600000,0.56690000,0.52020000,0.53550000,58981872.00000000,31833676.79970000,63263
1630368000000,2021-08-31 00:00:00,LRC/USDT,0.53540000,0.56670000,0.51510000,0.55590000,82740128.00000000,44544874.52550000,95173
1630281600000,2021-08-30 00:00:00,LRC/USDT,0.55390000,0.59890000,0.52770000,0.53570000,172551070.00000000,97213632.77260000,220895
1630195200000,2021-08-29 00:00:00,LRC/USDT,0.55280000,0.75450000,0.51770000,0.55420000,410115515.30000000,257836279.55178200,542452
1630108800000,2021-08-28 00:00:00,LRC/USDT,0.49650000,0.57120000,0.48590000,0.55320000,78956481.90000000,41826786.93169600,91124
1630022400000,2021-08-27 00:00:00,LRC/USDT,0.49420000,0.54050000,0.45000000,0.49650000,100702709.80000000,51471094.87668300,111764
1629936000000,2021-08-26 00:00:00,LRC/USDT,0.46428000,0.52020000,0.44590000,0.49430000,125633818.90000000,60768335.15472300,127504
1629849600000,2021-08-25 00:00:00,LRC/USDT,0.45855000,0.50011000,0.43862000,0.46482000,93745218.90000000,43730743.53693600,94842
1629763200000,2021-08-24 00:00:00,LRC/USDT,0.50644000,0.54666000,0.44020000,0.45830000,181441223.30000000,89538569.81209400,201368
1629676800000,2021-08-23 00:00:00,LRC/USDT,0.55001000,0.57513000,0.48211000,0.50689000,243747981.80000000,126228332.07399500,300500
