https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SC,Volume USDT,tradecount
1628726400000,2021-08-12 00:00:00,SC/USDT,0.01824600,0.01910800,0.01686100,0.01766800,822700232.00000000,14749363.90091000,49601
1628640000000,2021-08-11 00:00:00,SC/USDT,0.01727600,0.01910000,0.01723300,0.01827800,1087282324.00000000,19831172.83951400,67102
1628553600000,2021-08-10 00:00:00,SC/USDT,0.01700400,0.01750000,0.01636900,0.01727500,734254507.00000000,12489580.63721600,41731
1628467200000,2021-08-09 00:00:00,SC/USDT,0.01639700,0.01718700,0.01542900,0.01698400,600862242.00000000,9909926.74844100,32526
1628380800000,2021-08-08 00:00:00,SC/USDT,0.01757700,0.01764400,0.01591400,0.01639900,661493206.00000000,11100215.76743300,33589
1628294400000,2021-08-07 00:00:00,SC/USDT,0.01721900,0.01782000,0.01658300,0.01757400,955230740.00000000,16445901.10276700,45742
1628208000000,2021-08-06 00:00:00,SC/USDT,0.01614700,0.01741800,0.01573900,0.01721900,846056361.00000000,14032815.34539200,43148
1628121600000,2021-08-05 00:00:00,SC/USDT,0.01588300,0.01632400,0.01507600,0.01615800,737074471.00000000,11558003.26752400,42832
1628035200000,2021-08-04 00:00:00,SC/USDT,0.01498000,0.01598800,0.01493800,0.01588400,827934017.00000000,12826717.80132600,40573
1627948800000,2021-08-03 00:00:00,SC/USDT,0.01592200,0.01596800,0.01452700,0.01497600,990058838.00000000,14939317.38772800,55092
1627862400000,2021-08-02 00:00:00,SC/USDT,0.01583700,0.01649500,0.01536300,0.01592000,1720748207.00000000,27365650.32029600,87277
1627776000000,2021-08-01 00:00:00,SC/USDT,0.01498800,0.02033800,0.01496400,0.01584600,4452050369.00000000,82126526.79235500,256235
1627689600000,2021-07-31 00:00:00,SC/USDT,0.01405100,0.01544700,0.01376900,0.01497800,778972615.00000000,11447775.90849100,40291
1627603200000,2021-07-30 00:00:00,SC/USDT,0.01346500,0.01423000,0.01280100,0.01402900,817429461.00000000,10998905.92935900,43323
1627516800000,2021-07-29 00:00:00,SC/USDT,0.01274300,0.01352700,0.01228200,0.01345900,650351039.00000000,8450891.43714100,30029
1627430400000,2021-07-28 00:00:00,SC/USDT,0.01243200,0.01313400,0.01216900,0.01273800,778257224.00000000,9886923.64720800,35170
1627344000000,2021-07-27 00:00:00,SC/USDT,0.01195900,0.01246800,0.01132800,0.01245800,586703266.00000000,7012807.02499100,27471
1627257600000,2021-07-26 00:00:00,SC/USDT,0.01157900,0.01299700,0.01149400,0.01196000,943824500.00000000,11734581.70178500,51276
1627171200000,2021-07-25 00:00:00,SC/USDT,0.01126100,0.01163400,0.01097900,0.01157600,591609958.00000000,6708100.26467500,25524
1627084800000,2021-07-24 00:00:00,SC/USDT,0.01119000,0.01141900,0.01095200,0.01124700,339022295.00000000,3798903.85045200,16768
1626998400000,2021-07-23 00:00:00,SC/USDT,0.01082400,0.01119800,0.01035300,0.01117100,477093845.00000000,5172981.07926500,19353
