https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,tradecount
1631577600000,2021-09-14 00:00:00,FIL/USDT,77.96000000,78.85000000,77.44000000,77.78000000,56604.38000000,4417375.80540000,6287
1631491200000,2021-09-13 00:00:00,FIL/USDT,83.63000000,84.60000000,72.72000000,77.96000000,4367263.96000000,345654169.44050000,461110
1631404800000,2021-09-12 00:00:00,FIL/USDT,81.67000000,87.05000000,80.66000000,83.63000000,3811022.49000000,318704357.40720000,417061
1631318400000,2021-09-11 00:00:00,FIL/USDT,82.42000000,85.04000000,80.03000000,81.66000000,3341935.14000000,275905491.20250000,396826
1631232000000,2021-09-10 00:00:00,FIL/USDT,88.70000000,91.86000000,78.73000000,82.43000000,4887080.14000000,415239637.48410000,614313
1631145600000,2021-09-09 00:00:00,FIL/USDT,88.39000000,94.17000000,85.10000000,88.68000000,5353465.34000000,481264161.73020000,862105
1631059200000,2021-09-08 00:00:00,FIL/USDT,84.47000000,94.05000000,76.05000000,88.28000000,9668703.68000000,821277735.55300000,1127418
1630972800000,2021-09-07 00:00:00,FIL/USDT,106.22000000,110.97000000,71.20000000,84.46000000,13607499.00000000,1249496585.06660000,1608780
1630886400000,2021-09-06 00:00:00,FIL/USDT,113.64000000,118.50000000,103.88000000,106.22000000,7762399.75000000,866845024.64220000,1013362
1630800000000,2021-09-05 00:00:00,FIL/USDT,95.04000000,120.17000000,91.89000000,113.65000000,8863729.39510000,941404015.51086000,1303797
1630713600000,2021-09-04 00:00:00,FIL/USDT,77.64000000,96.65000000,77.47000000,95.04000000,5591528.11860000,485728316.57241700,756058
1630627200000,2021-09-03 00:00:00,FIL/USDT,77.39000000,78.98000000,75.72000000,77.65000000,1670784.36000000,129338866.68300000,195491
1630540800000,2021-09-02 00:00:00,FIL/USDT,78.68000000,79.58000000,77.01000000,77.39000000,1787834.62040000,139947977.11673100,219497
1630454400000,2021-09-01 00:00:00,FIL/USDT,75.96000000,78.79000000,75.27000000,78.69000000,2662164.35310000,204837088.01444100,331036
1630368000000,2021-08-31 00:00:00,FIL/USDT,71.20000000,77.80000000,70.43000000,75.97000000,3168608.57650000,236280192.22093700,382052
1630281600000,2021-08-30 00:00:00,FIL/USDT,73.62000000,74.24000000,70.94000000,71.20000000,1366890.45000000,99538026.79490000,151366
1630195200000,2021-08-29 00:00:00,FIL/USDT,73.97000000,75.42000000,72.40000000,73.63000000,1753070.70000000,129596411.25930000,188845
1630108800000,2021-08-28 00:00:00,FIL/USDT,75.20000000,75.46000000,72.86000000,73.96000000,1444189.07000000,106821727.61120000,159157
1630022400000,2021-08-27 00:00:00,FIL/USDT,72.29000000,75.77000000,70.33000000,75.19000000,2139466.44330000,155866610.52120800,266662
1629936000000,2021-08-26 00:00:00,FIL/USDT,76.53000000,78.78000000,71.40000000,72.29000000,2655189.48410000,197115517.87894600,304313
1629849600000,2021-08-25 00:00:00,FIL/USDT,74.33000000,77.93000000,72.41000000,76.53000000,2264953.11410000,170348512.35068000,248382
1629763200000,2021-08-24 00:00:00,FIL/USDT,79.74000000,80.55000000,72.17000000,74.34000000,3044715.35390000,233176895.58524500,333247
1629676800000,2021-08-23 00:00:00,FIL/USDT,77.16000000,82.48000000,76.56000000,79.75000000,3298154.71920000,264080355.97055400,361064
1629590400000,2021-08-22 00:00:00,FIL/USDT,78.45000000,79.15000000,75.05000000,77.17000000,2896082.27200000,223950749.79423500,351268
1629504000000,2021-08-21 00:00:00,FIL/USDT,73.06000000,79.29000000,71.40000000,78.45000000,3060779.10240000,227930696.80690400,375698
1629417600000,2021-08-20 00:00:00,FIL/USDT,70.47000000,73.79000000,69.69000000,73.06000000,1749122.98250000,125320146.16546100,206351
1629331200000,2021-08-19 00:00:00,FIL/USDT,67.47000000,70.54000000,66.26000000,70.48000000,1630499.56760000,110663908.50204600,193138
1629244800000,2021-08-18 00:00:00,FIL/USDT,69.49000000,70.15000000,66.00000000,67.47000000,2552150.08230000,173806494.94155700,277293
1629158400000,2021-08-17 00:00:00,FIL/USDT,73.25000000,74.69000000,69.04000000,69.45000000,2825486.84750000,205195194.19613700,325531
1629072000000,2021-08-16 00:00:00,FIL/USDT,73.06000000,75.89000000,72.42000000,73.26000000,3224869.88420000,238658643.24685400,370105
1628985600000,2021-08-15 00:00:00,FIL/USDT,72.39000000,74.47000000,70.08000000,73.06000000,2465722.97140000,177718525.99027900,291537
1628899200000,2021-08-14 00:00:00,FIL/USDT,74.47000000,75.00000000,69.99000000,72.40000000,2873070.20190000,209088335.98589600,358591
1628812800000,2021-08-13 00:00:00,FIL/USDT,68.33000000,74.83000000,68.29000000,74.47000000,2188063.78290000,155361186.76817100,284255
1628726400000,2021-08-12 00:00:00,FIL/USDT,71.76000000,75.59000000,66.04000000,68.32000000,3877037.84000000,271935327.39156000,432196
1628640000000,2021-08-11 00:00:00,FIL/USDT,66.69000000,74.03000000,66.64000000,71.76000000,3681758.61330000,260229223.43720200,422758
1628553600000,2021-08-10 00:00:00,FIL/USDT,67.52000000,69.82000000,64.95000000,66.69000000,2515419.99380000,169600464.46728800,275939
1628467200000,2021-08-09 00:00:00,FIL/USDT,64.49000000,68.18000000,61.42000000,67.54000000,2750083.36270000,180192078.46930700,290675
1628380800000,2021-08-08 00:00:00,FIL/USDT,69.24000000,69.43000000,63.39000000,64.48000000,2689308.62400000,178091189.55629000,285710
1628294400000,2021-08-07 00:00:00,FIL/USDT,64.19000000,70.84000000,63.67000000,69.24000000,4517936.65280000,306801579.21255900,499819
1628208000000,2021-08-06 00:00:00,FIL/USDT,57.87000000,64.96000000,57.17000000,64.20000000,3165350.17370000,192229471.45267800,337070
1628121600000,2021-08-05 00:00:00,FIL/USDT,56.48000000,58.22000000,55.01000000,57.88000000,2001953.75700000,112763386.77312800,194166
1628035200000,2021-08-04 00:00:00,FIL/USDT,54.30000000,57.34000000,53.98000000,56.49000000,2216026.87420000,123725591.95052100,203003
